iter	Passed	Remaining
0	24	20382
1	62	26407
2	103	28926
3	132	27737
4	149	24990
5	180	25179
6	214	25644
7	231	24210
8	248	23056
9	285	23802
10	324	24577
11	335	23265
12	374	23918
13	386	22879
14	400	22085
15	420	21723
16	435	21171
17	446	20461
18	484	21008
19	498	20520
20	531	20816
21	547	20425
22	564	20117
23	577	19722
24	593	19408
25	610	19186
26	649	19633
27	684	19920
28	706	19842
29	723	19620
30	733	19212
31	745	18899
32	777	19094
33	800	19043
34	811	18723
35	822	18431
36	854	18604
37	871	18469
38	909	18754
39	929	18657
40	938	18364
41	957	18257
42	969	18038
43	986	17906
44	998	17704
45	1014	17575
46	1053	17847
47	1069	17721
48	1098	17802
49	1122	17810
50	1142	17735
51	1156	17596
52	1198	17868
53	1219	17822
54	1228	17604
55	1246	17519
56	1284	17712
57	1325	17943
58	1362	18108
59	1380	18010
60	1389	17812
61	1421	17906
62	1433	17749
63	1470	17898
64	1478	17691
65	1488	17528
66	1509	17484
67	1519	17316
68	1528	17146
69	1538	16994
70	1577	17153
71	1595	17090
72	1603	16913
73	1614	16775
74	1622	16612
75	1632	16473
76	1640	16317
77	1649	16178
78	1657	16033
79	1666	15893
80	1677	15776
81	1687	15662
82	1699	15563
83	1708	15439
84	1740	15518
85	1777	15644
86	1784	15510
87	1796	15414
88	1807	15309
89	1817	15206
90	1848	15275
91	1856	15156
92	1865	15048
93	1888	15045
94	1899	14953
95	1908	14849
96	1929	14838
97	1939	14744
98	1977	14857
99	1986	14756
100	2003	14715
101	2011	14614
102	2029	14580
103	2038	14485
104	2048	14400
105	2087	14513
106	2097	14426
107	2104	14324
108	2115	14246
109	2154	14356
110	2166	14284
111	2176	14205
112	2186	14123
113	2235	14293
114	2246	14221
115	2258	14152
116	2270	14086
117	2281	14016
118	2292	13946
119	2300	13860
120	2310	13785
121	2347	13875
122	2378	13923
123	2387	13845
124	2397	13772
125	2408	13704
126	2438	13749
127	2447	13671
128	2456	13599
129	2465	13522
130	2477	13465
131	2491	13418
132	2511	13407
133	2536	13422
134	2548	13367
135	2559	13305
136	2570	13248
137	2583	13197
138	2595	13146
139	2607	13090
140	2619	13041
141	2645	13059
142	2658	13013
143	2670	12964
144	2679	12899
145	2690	12845
146	2701	12792
147	2710	12728
148	2720	12669
149	2728	12607
150	2737	12547
151	2749	12500
152	2757	12435
153	2764	12368
154	2775	12317
155	2786	12269
156	2793	12205
157	2802	12150
158	2819	12128
159	2840	12124
160	2851	12078
