iter	Passed	Remaining
0	105	366591
1	121	210247
2	168	194665
3	195	169586
4	238	165151
5	309	178466
6	328	162354
7	372	161098
8	446	171764
9	489	169227
10	560	176199
11	662	190785
12	732	194736
13	751	185294
14	764	176094
15	779	168220
16	789	160198
17	817	156679
18	832	151138
19	875	150970
20	972	159657
21	993	155552
22	1035	155068
23	1062	152480
24	1133	156129
25	1233	163273
26	1245	158754
27	1274	156604
28	1302	154434
29	1399	160431
30	1429	158475
31	1441	154777
32	1483	154369
33	1510	152510
34	1604	157350
35	1614	153909
36	1656	153565
37	1702	153684
38	1714	150746
39	1729	148212
40	1741	145528
41	1756	143260
42	1770	141033
43	1792	139513
44	1820	138458
45	1832	136323
46	1843	134215
47	1853	132050
48	1860	129826
49	1872	127982
50	1880	126018
51	1889	124105
52	1903	122662
53	1918	121264
54	1945	120700
55	1954	119074
56	1973	118070
57	1983	116604
58	1992	115107
59	2000	113641
60	2072	115733
61	2080	114265
62	2088	112881
63	2096	111528
64	2105	110226
65	2112	108881
66	2121	107688
67	2133	106666
68	2143	105597
69	2155	104627
70	2166	103660
71	2174	102578
72	2189	101817
73	2201	100971
74	2208	99921
75	2218	99004
76	2227	98105
77	2235	97150
78	2332	100071
79	2338	99054
80	2347	98163
81	2355	97281
82	2363	96391
83	2376	95722
84	2404	95699
85	2422	95262
86	2444	94983
87	2457	94393
88	2551	96887
89	2570	96474
90	2584	95913
91	2611	95816
92	2705	98177
93	2719	97604
94	2738	97218
95	2780	97674
96	2791	97010
97	2819	96963
98	2917	99299
99	3012	101473
100	3056	101907
101	3065	101160
102	3161	103279
103	3169	102536
104	3178	101805
105	3205	101655
106	3215	100990
107	3284	102199
108	3312	102076
109	3357	102492
110	3366	101811
111	3375	101146
112	3386	100556
113	3395	99902
114	3406	99318
115	3418	98790
116	3427	98157
117	3440	97685
118	3449	97068
119	3457	96474
120	3465	95865
121	3473	95274
122	3481	94673
123	3488	94090
124	3496	93513
125	3506	92993
126	3513	92441
127	3521	91901
128	3529	91363
129	3537	90835
130	3545	90308
131	3552	89789
132	3560	89278
133	3567	88767
134	3575	88263
135	3582	87763
136	3589	87270
137	3596	86777
138	3602	86282
139	3609	85801
140	3616	85326
141	3622	84854
142	3629	84396
143	3636	83936
144	3642	83484
145	3649	83039
146	3656	82611
147	3665	82226
148	3673	81836
149	3681	81443
150	3688	81030
151	3695	80620
152	3702	80213
153	3708	79815
154	3715	79423
155	3722	79037
156	3730	78664
157	3737	78298
158	3745	77942
159	3752	77587
160	3760	77241
161	3768	76897
162	3775	76548
163	3782	76200
164	3789	75857
165	3796	75521
166	3803	75184
167	3810	74857
168	3818	74535
169	3825	74214
170	3832	73900
171	3840	73588
172	3847	73284
173	3855	72990
174	3863	72692
175	3871	72409
176	3970	73817
177	4065	75136
178	4161	76472
179	4204	76793
180	4218	76602
181	4227	76336
182	4241	76141
183	4251	75877
184	4269	75761
185	4278	75497
186	4287	75232
187	4301	75045
188	4314	74857
189	4328	74680
190	4341	74482
191	4354	74303
192	4366	74099
193	4383	73979
194	4404	73924
195	4437	74081
196	4455	73984
197	4472	73856
198	4488	73738
199	4503	73588
200	4518	73440
201	4537	73356
202	4555	73265
203	4568	73100
204	4582	72947
205	4609	72994
206	4626	72886
207	4643	72781
208	4663	72717
209	4677	72568
210	4691	72423
211	4705	72271
212	4718	72114
213	4738	72046
214	4770	72174
215	4795	72192
216	4815	72144
217	4841	72177
218	4855	72028
219	4868	71879
220	4895	71921
221	4921	71962
222	4936	71833
223	4951	71702
224	4965	71569
225	4980	71439
226	4994	71307
227	5009	71191
228	5024	71061
229	5034	70882
230	5050	70774
231	5066	70674
232	5078	70516
233	5093	70389
234	5106	70246
235	5114	70044
236	5131	69958
237	5146	69848
238	5157	69683
239	5165	69482
240	5174	69282
241	5184	69112
242	5191	68902
243	5199	68696
244	5208	68520
245	5215	68313
246	5222	68106
247	5230	67908
248	5237	67709
249	5247	67542
250	5257	67383
251	5266	67208
252	5274	67026
253	5282	66848
254	5291	66674
255	5299	66487
256	5308	66331
257	5318	66175
258	5333	66076
259	5341	65906
260	5351	65761
261	5360	65592
262	5370	65450
263	5381	65306
264	5388	65128
265	5395	64951
266	5402	64773
267	5410	64599
268	5417	64423
269	5424	64248
270	5432	64089
271	5441	63935
272	5450	63787
273	5460	63647
274	5469	63508
275	5478	63355
276	5488	63227
277	5499	63104
278	5507	62954
279	5516	62808
280	5525	62663
281	5533	62516
282	5546	62417
283	5552	62256
284	5559	62091
285	5566	61930
286	5573	61772
287	5580	61616
288	5587	61463
289	5595	61314
290	5602	61165
291	5609	61016
292	5617	60866
293	5624	60724
294	5631	60575
295	5639	60430
296	5646	60281
297	5653	60135
298	5660	59989
